Name,Model Number,Minimum Amount,Manufacturer,Category,Require Serial,Depreciation,EOL,Notes,Fieldset,Requestable
Celkon i9,395067257-5,367,Skippad,Food - Condiments,true,,196,Organic,Mobile Devices,false
Motorola M3688,815850131-1,75,,Food - Breakfast,false,consectetuer adipiscing,202,cohesive,Mobile Devices,true
Wiko Pulp 4G,126662574-7,215,Brainverse,Food - Condiments,true,vitae ipsum aliquam non mauris,,standardization,Laptops and Desktops,false
Allview P10 Style,815616804-6,241,Eadel,Food - Grab-and-Go,false,sapien cursus,161,solution,Laptops and Desktops,true
Celkon A97i,937303260-7,32,Quamba,Kitchen,true,natoque penatibus et,170,Graphic Interface,Mobile Devices,false
alcatel OT-111,452490517-0,163,Dynava,Food - Beverages,true,nulla ac,95,Switchable,Mobile Devices,true
Nokia C2-02,277200678-6,254,BlogXS,Food - Canned Goods,false,sapien arcu,202,analyzer,Mobile Devices,true
Motorola W209,073646551-0,475,Fivebridge,Garden,true,ipsum,133,access,Mobile Devices,false
Sony Ericsson K810,977553047-4,18,Oyonder,Food - Salads,false,nisl venenatis,193,asymmetric,Mobile Devices,true
HTC Dream,589399489-2,215,Buzzbean,Food - Beverages,false,faucibus,54,Multi-tiered,Laptops and Desktops,false
Allview AX3 Party,010093837-X,485,Yabox,Food - Prepared Foods,true,mattis pulvinar nulla,53,time-frame,Laptops and Desktops,false
Huawei Ascend Y330,368978651-7,286,Realcube,Fitness,false,orci vehicula condimentum,135,Programmable,Mobile Devices,false
Xiaomi Mi Pad 2,028119813-6,140,Divape,Food - Frozen Foods,true,sed tristique in,152,task-force,Mobile Devices,true
Allview Impera i,325131516-1,191,Skibox,Food - Fruits,true,vestibulum sed magna at nunc,54,Cross-platform,,true
LG CG180,162360871-6,287,Devcast,Food - Snacks,true,lobortis vel dapibus at,84,Vision-oriented,Mobile Devices,false
verykool s5021 Wave Pro,282425415-7,177,Twitterwire,Food - Bakery,false,justo in,18,motivating,Mobile Devices,false
Samsung I9105 Galaxy S II Plus,220108088-7,,Meevee,Home,false,amet sem,39,fresh-thinking,Mobile Devices,false
Philips X128,975778186-X,83,Pixope,Pets,true,,221,secondary,Mobile Devices,true
Siemens CC75,013990631-2,195,Geba,Office,false,amet diam in magna bibendum,35,actuating,Laptops and Desktops,false
Posh Orion Pro X500,088551219-7,,Gabcube,Food - Dairy Alternatives,false,nulla eget eros elementum,48,logistical,Laptops and Desktops,false
Oppo Mirror 5,587779929-0,307,Thoughtbridge,Food - Bakery,true,luctus et ultrices posuere cubilia,226,asynchronous,Mobile Devices,false
TCL Tab 10s,353977074-7,20,Lajo,Food - Produce,true,in quis justo,212,toolset,Laptops and Desktops,true
Celkon C567,223234067-8,185,Vipe,Outdoor,false,purus,116,task-force,Mobile Devices,false
Yezz Epic T7ED,522559936-2,428,Twimbo,Food - Dairy,true,felis eu sapien cursus,90,Streamlined,Laptops and Desktops,false
Siemens Xelibri 7,519150531-X,154,Photofeed,Fitness,true,in consequat ut nulla sed,128,analyzer,Mobile Devices,true
Philips E100,200043255-7,343,,Beauty,false,eros viverra eget congue,17,success,Mobile Devices,true
Samsung Gear S2 3G,883102272-5,150,Quimm,Outdoor,false,at vulputate,32,Upgradable,Mobile Devices,false
Oppo F1s,664141566-X,309,Jetpulse,Electronics,false,aliquam convallis nunc,29,cohesive,Mobile Devices,false
HP Slate6 VoiceTab,909836619-8,170,Voolia,Accessories,false,a suscipit nulla elit,33,framework,Laptops and Desktops,true
Gigabyte GSmart Tuku T2,632110564-3,411,Edgeclub,Kitchen,false,enim lorem ipsum dolor,132,Enterprise-wide,Laptops and Desktops,true
Samsung Corby TV F339,578528736-6,191,Eare,Food - Frozen Food,true,metus arcu,165,task-force,Laptops and Desktops,false
alcatel 1S (2020),787056410-9,75,Jamia,Outdoor,false,nulla tellus in,23,,Laptops and Desktops,false
Motorola StarTAC 75,423054312-3,371,Gabtype,Food - Grains,false,vestibulum ante ipsum primis in,177,secured line,Laptops and Desktops,true
Sewon SG-2200,973083812-7,4,Babblestorm,Tools,true,ut at dolor quis odio,196,asynchronous,Laptops and Desktops,false
Samsung Galaxy J7 Nxt,690327941-5,429,Trilith,Food - Snacks,true,donec,54,modular,Mobile Devices,false
Oppo Neo 3,836209511-3,35,,Kitchen,false,imperdiet et commodo,127,analyzing,Mobile Devices,false
Micromax A63 Canvas Fun,155931189-4,462,Livefish,Food - Condiments,true,luctus nec molestie sed justo,220,Enhanced,,false
BLU Studio 5.0 HD LTE,785223258-2,105,Browsecat,Food - Dairy,false,,196,Cross-platform,Laptops and Desktops,false
Telit NEO,655730204-3,437,Mudo,Gaming,false,leo rhoncus sed vestibulum,188,pricing structure,,true
Philips W635,655207525-1,251,Dabvine,Food - Dried Fruits,true,,191,support,Laptops and Desktops,false
Lenovo K6 Power,780548917-3,,Roodel,Food - Frozen,true,accumsan tortor quis turpis,68,system engine,Laptops and Desktops,true
Ulefone Armor X8,833039320-8,385,Voonyx,Food - Bakery,true,orci luctus et,37,Cross-group,Mobile Devices,false
Nokia 6100,227908234-9,42,Bluezoom,Kitchen,true,,154,6th generation,Laptops and Desktops,false
Lenovo P90,437263303-3,71,Rhycero,Food - Frozen Food,false,duis faucibus accumsan,138,service-desk,Mobile Devices,true
Samsung Galaxy A8 (2016),503419815-0,365,Geba,Food - Beverages,false,,,Multi-layered,Laptops and Desktops,false
LG Optimus Zone VS410,659310632-1,101,Rhynoodle,Food - Canned Soups,true,in,212,,Laptops and Desktops,false
HTC One M9+,053167200-X,270,,Clothing - Activewear,false,,25,content-based,Mobile Devices,true
Toshiba TS32,133688749-4,271,Vimbo,Home,false,est et tempus,32,impactful,Mobile Devices,false
Lava Z80,927827049-0,199,Topicstorm,Kitchen,false,libero nullam sit amet turpis,86,application,Mobile Devices,false
Coolpad Torino,115283009-0,,Chatterbridge,Home,false,lobortis convallis tortor risus dapibus,189,Optional,Laptops and Desktops,true
Apple Watch Series 5,369406206-8,395,Edgetag,Toys,true,mattis egestas metus,44,Reduced,Mobile Devices,false
Spice M-5200 Boss Don,143537763-X,481,Skaboo,Food - Bakery,false,eu mi nulla ac enim,128,Total,Mobile Devices,true
Motorola V3x,630175273-2,,Topicblab,Food - Snacks,true,sit amet eros suspendisse accumsan,158,,,true
Sagem MY X-7,024796755-6,11,Demizz,Food - Snacks,false,aenean lectus,9,leading edge,,true
Archos 40 Titanium,780251891-1,109,Edgepulse,Food - Bakery,false,suspendisse potenti nullam porttitor lacus,113,Networked,Laptops and Desktops,true
LG X mach,775132415-5,94,,Food - Salads,false,sit amet diam,84,,Mobile Devices,false
Oppo A53,148893767-2,151,Feedfish,Clothing - Bottoms,true,quisque porta volutpat erat quisque,200,uniform,Laptops and Desktops,true
Nokia 215 Dual SIM,963459579-0,36,Devshare,Pets,false,erat eros viverra,181,parallelism,Mobile Devices,true
Huawei nova 6,105499239-8,194,Trupe,Food - Snacks,false,nisl nunc rhoncus dui vel,66,success,Mobile Devices,false
BLU Advance L4,457058370-9,308,Yacero,Clothing - Dresses,false,mauris eget,79,solution,Mobile Devices,true
Samsung Ativ S I8750,486299757-0,415,Buzzbean,Sports,false,viverra diam,32,,Laptops and Desktops,true
Samsung P1010 Galaxy Tab Wi-Fi,696486867-4,322,Muxo,Food - Cereal,false,vehicula,43,,Mobile Devices,false
Haier M1100,733433456-6,388,Fivechat,Food - Condiments,false,sociis natoque penatibus et,80,even-keeled,Laptops and Desktops,true
NEC DB4000,596910223-7,,Centimia,Pets,true,nascetur ridiculus mus,82,secured line,Laptops and Desktops,false
Micromax Bharat 5 Plus,480811774-6,199,Katz,Beauty,false,lobortis vel dapibus at,92,Reduced,Laptops and Desktops,false
Lava Z60s,487368797-7,67,Zoonder,Clothing - Tops,true,volutpat in congue etiam,117,Polarised,Mobile Devices,true
Kyocera DuraForce Pro 2,246107654-5,444,Gabvine,Electronics,false,ultrices posuere cubilia,,6th generation,Laptops and Desktops,true
Samsung Galaxy S6 edge,537306742-3,209,Browsezoom,Kitchen,false,justo morbi ut,170,composite,Mobile Devices,true
LG C375 Cookie Tweet,453837825-9,255,Skibox,Health,true,volutpat erat quisque erat eros,224,attitude-oriented,Mobile Devices,true
Prestigio MultiPhone 5400 Duo,617246307-1,114,Thoughtbeat,Outdoor,true,vestibulum aliquet,95,multimedia,Laptops and Desktops,true
Acer Iconia Tab A3-A20FHD,868934033-5,407,,Smart Home,false,nullam orci pede,104,,Laptops and Desktops,true
LG C3300,201446060-4,297,Yombu,Home Security,false,odio porttitor,193,grid-enabled,,true
ZTE Blade G V880G,841425844-1,40,,Travel,true,cras in purus,136,,,true
Motorola Moto G Fast,202129694-6,265,Riffpedia,Home,false,nibh quisque id,,secondary,Laptops and Desktops,true
Samsung J630,415105005-1,,Meembee,Food - Canned Soups,true,est congue elementum in,192,Enterprise-wide,Mobile Devices,false
HTC Desire,293197769-1,213,Katz,Kitchen,true,dictumst,37,Synchronised,Mobile Devices,false
HTC Touch Diamond2 CDMA,188630095-X,432,Trilith,Food - Frozen Food,false,mi in,30,flexibility,Mobile Devices,true
Nokia Asha 305,505587658-1,291,Shufflester,Food - Snacks,false,orci,13,Switchable,Mobile Devices,true
NEC c616v,925435716-2,298,Kaymbo,Toys,true,lorem integer,21,contingency,Laptops and Desktops,true
Philips X703,875284472-2,67,Wordware,Food - Dairy,false,diam nam tristique tortor,214,installation,Mobile Devices,false
Icemobile Tropical II,390887326-6,301,Feedbug,Fitness,false,eu massa donec,,incremental,Laptops and Desktops,false
Sony Ericsson C901,067611887-9,291,Pixonyx,Office,false,ut,15,needs-based,Laptops and Desktops,false
Sony CMD Z5,984766159-6,436,Feedbug,Fitness,true,blandit lacinia erat vestibulum,118,global,,true
Huawei MediaPad T5,000136429-4,167,Browseblab,Food - Produce,true,congue etiam justo,170,Robust,Mobile Devices,true
Samsung Galaxy Tab 4 10.1,978287225-3,416,Realpoint,Food - Frozen,false,,202,algorithm,Mobile Devices,true
alcatel Pop 8S,635688724-9,42,Twitterbeat,Food - Meal Kits,false,aliquam,132,secondary,Laptops and Desktops,true
Huawei Ascend G500,487792240-7,304,Divavu,Office,false,posuere cubilia curae,150,Right-sized,Laptops and Desktops,false
LG KE770 Shine,864960424-2,417,Eare,Food - Bakery,false,pellentesque volutpat dui maecenas tristique,152,Team-oriented,Laptops and Desktops,true
Samsung D820,352321303-7,193,Rhyzio,Health,false,scelerisque mauris sit amet eros,,holistic,Mobile Devices,false
alcatel OT 757,259983887-8,353,,Food - Canned Goods,false,ultrices enim lorem ipsum,104,Exclusive,Laptops and Desktops,false
Sony Xperia 10 Plus,889473797-7,,Yacero,Smart Home,false,egestas metus aenean fermentum donec,140,Persevering,Laptops and Desktops,false
Lava Z40,791327573-1,,,Food - Snacks,true,quis augue,95,optimal,Mobile Devices,false
Prestigio MultiPad 7.0 Prime,054181741-8,225,Linktype,Food - Canned Goods,true,magna ac consequat metus sapien,,asymmetric,Laptops and Desktops,true
Sony Ericsson R300 Radio,649972998-1,226,Roomm,Food - Snacks,true,pellentesque eget nunc donec,,well-modulated,Mobile Devices,false
Samsung P7500 Galaxy Tab 10.1 3G,354175441-9,198,Twiyo,Clothing - Swimwear,false,mauris vulputate elementum,218,zero administration,Mobile Devices,false
Samsung W880 AMOLED 12M,709526325-6,216,Jabbersphere,Food - Frozen Vegetables,true,amet consectetuer adipiscing elit,84,Expanded,Mobile Devices,true
Nokia E75,689963525-9,204,Vinder,Kitchen,true,vel augue,164,disintermediate,Laptops and Desktops,true
vivo Y3s,760131520-7,335,Photospace,Food - Grains,false,erat eros viverra,77,toolset,Laptops and Desktops,false
Sony Ericsson K850,039014680-3,361,Gabtune,Food - Meat,false,,120,client-server,Mobile Devices,false
Gigabyte GSmart S1200,303311738-4,412,Photofeed,Food - Breakfast,false,fermentum justo,188,3rd generation,Laptops and Desktops,false
LG CU720 Shine,853570220-2,329,Dynava,Food - Grains,true,suscipit ligula in lacus curabitur,,local,Mobile Devices,false
BlackBerry Curve 9360,503233545-2,429,Kimia,Food - Bakery,false,nibh fusce,167,bandwidth-monitored,Mobile Devices,false
LG Cosmos Touch VN270,342129356-2,125,Tambee,Toys,true,donec,,contextually-based,,false
Sony Ericsson K630,927904502-4,152,Tazzy,Food - Snacks,true,in,6,definition,Laptops and Desktops,false
LG L50,703437933-5,396,Edgetag,Clothing - Tops,false,at ipsum,125,Customer-focused,Laptops and Desktops,true
NIU Andy 3.5E2I,825438775-3,270,Oyope,Food - Baking,false,justo,92,directional,Mobile Devices,false
Sony Ericsson K300,279528624-6,14,Brightbean,Crafts,false,natoque,141,open system,Mobile Devices,false
Micromax Vdeo 2,980326587-3,306,Jaloo,Food - Frozen Foods,true,eget eleifend luctus,134,Balanced,Laptops and Desktops,true
BenQ-Siemens AL26,525296117-4,173,Skipstorm,Food - Frozen Foods,true,mattis,156,methodology,Laptops and Desktops,true
Cat B15,704165905-4,191,Dabtype,Toys,false,,96,Open-architected,Laptops and Desktops,false
Philips W3500,062073415-9,66,Blogspan,Food - Canned Goods,false,consequat morbi a,177,function,Mobile Devices,false
Huawei MediaPad T1 7.0 Plus,635428902-6,463,Jaxspan,Food - Salads,false,,71,hub,Laptops and Desktops,false
Asus Fonepad,087139695-5,391,Trudoo,Home,true,pellentesque eget nunc,88,Assimilated,Mobile Devices,false
Lenovo S720,191982718-8,351,,Clothing,false,nam,96,global,Laptops and Desktops,false
Panasonic X400,900342116-1,105,,Food - Deli,true,ultrices mattis odio donec,109,internet solution,,false
vivo X30,836955199-8,423,Quamba,Clothing - Swimwear,true,volutpat in congue,111,stable,Laptops and Desktops,true
Maxwest Astro X5,252611950-2,332,,Outdoor,false,iaculis,172,disintermediate,Mobile Devices,false
Amoi M630,873336655-1,457,Fivespan,Pets,true,accumsan,56,user-facing,Mobile Devices,true
Samsung P920,237715871-4,120,Realcube,Food - Canned Goods,true,arcu,,demand-driven,,true
Haier G51,872535358-6,,Mycat,Kitchen,true,est,32,workforce,Laptops and Desktops,true
Icemobile Charm,064102929-2,85,Camido,Food - Spreads,true,,203,architecture,Laptops and Desktops,false
Sony Ericsson T290,514061229-1,105,Zoomcast,Clothing - Activewear,false,faucibus orci luctus et,75,composite,Mobile Devices,true
BLU Dash L4 LTE,784435028-8,117,,Food - Condiments,true,pede ac diam,32,help-desk,Laptops and Desktops,true
Xiaomi Redmi 10X 4G,883753548-1,308,Mudo,Food - Frozen Food,false,maecenas pulvinar,26,Public-key,Laptops and Desktops,true
Huawei Ascend Y520,640499531-X,327,,Food - Health Foods,true,in congue etiam justo etiam,,solution-oriented,Laptops and Desktops,true
alcatel OT-209,207983948-9,465,Tambee,Food - Prepared Meals,false,ultrices posuere,,discrete,Mobile Devices,true
LG KH3900 Joypop,870265144-0,62,Devcast,Outdoor,false,ligula suspendisse ornare consequat lectus,86,Ameliorated,Laptops and Desktops,false
Wiko View XL,411086005-9,263,Tagopia,Food - Canned Goods,false,massa,150,Function-based,Laptops and Desktops,true
Samsung I8200 Galaxy S III mini VE,916463541-4,495,,Food - Baking,true,donec posuere metus,227,Multi-channelled,Laptops and Desktops,true
ZTE Blade V10,909206687-7,499,Shufflebeat,Food - Snacks,false,cubilia curae,122,Synergistic,Laptops and Desktops,false
Allview X4 Soul Infinity Z,910341620-8,443,Dablist,Food - Bakery,false,amet nunc,216,service-desk,Laptops and Desktops,true
verykool s351,425311128-9,,Meevee,Food - Dips,true,ut mauris eget,158,,Mobile Devices,false
Huawei P20 lite (2019),633060966-7,329,Dabvine,Kitchen,false,ut nulla,186,Enhanced,Mobile Devices,false
Spice Mi-504 Smart Flo Mettle 5X,779395737-7,,Trudoo,Food - Meat,true,platea dictumst aliquam augue,9,utilisation,Mobile Devices,true
NEC Terrain,315759621-7,464,Topicblab,Food - Spices,false,eros suspendisse accumsan tortor,27,parallelism,Laptops and Desktops,true
NIU Andy 5T,078433430-7,110,Meejo,Fitness,false,quam a odio in hac,,Focused,Mobile Devices,false
Meizu X8,317274993-2,62,Myworks,Food - Snacks,true,adipiscing lorem vitae mattis nibh,,coherent,Laptops and Desktops,true
Mitsubishi M750,044473416-3,184,Flashset,Fitness,false,vestibulum,33,,Laptops and Desktops,false
Huawei Ascend Y200,911267983-6,313,Meejo,Food - Baking,false,maecenas ut massa quis augue,205,methodical,Mobile Devices,false
ZTE nubia Red Magic Mars,697149952-2,50,Omba,Wearable Tech,true,nec molestie sed justo pellentesque,77,,Mobile Devices,true
Motorola Razr 2019,089566430-5,,Ailane,Photography,false,consequat varius,201,composite,Mobile Devices,false
Lenovo A316i,310774595-2,315,Podcat,Food - Baking Goods,false,justo sollicitudin ut suscipit a,8,Object-based,,true
XOLO Cube 5.0,169748335-6,136,Wikivu,Electronics,false,venenatis tristique fusce congue diam,112,success,,false
Energizer Power Max P16K Pro,830306188-7,36,Zazio,Food - Condiments,true,blandit,35,static,Laptops and Desktops,true
Huawei Mate 8,925475175-8,478,Meevee,Food - Bakery,false,mi in porttitor,178,process improvement,,false
Motorola Moto E3 Power,913672576-5,176,Yodoo,Food - Dairy,false,ac est,43,,Mobile Devices,false
BLU Studio 6.0 HD,295896159-1,438,Babblestorm,Food - Breakfast,true,mattis nibh ligula nec sem,57,dedicated,Laptops and Desktops,false
T-Mobile Vairy Touch,012178690-0,298,Oodoo,Clothing - Tops,true,nascetur ridiculus mus etiam vel,170,attitude-oriented,Laptops and Desktops,false
Panasonic Eluga I4,525502968-8,202,Teklist,Food - Confectionery,false,id nisl venenatis lacinia,90,,,true
Sony Xperia XZ1 Compact,765662334-5,117,Minyx,Food - Snacks,false,luctus,179,matrix,Mobile Devices,true
Samsung R200,186713939-1,14,Devpulse,Food - Produce,false,odio consequat,167,secondary,Laptops and Desktops,true
Bird S788,418812939-5,290,Youspan,Clothing - Outerwear,false,,136,Robust,Laptops and Desktops,false
Spice Smart Flo 503 (Mi-503),545224862-5,254,Realmix,Toys,true,,229,orchestration,Laptops and Desktops,false
Samsung Galaxy Q T589R,631687658-0,158,Meevee,Toys,false,posuere,146,hardware,Mobile Devices,true
O2 XDA Orion,880977852-9,377,Fivechat,Accessories,false,felis fusce posuere,182,capability,Mobile Devices,true
BLU C5 2019,943037975-5,363,Muxo,Food - Snacks,true,primis in faucibus orci,48,context-sensitive,Mobile Devices,false
Lava Iris Pro 30+,548767848-0,212,Twiyo,Food - Snacks,false,sed vestibulum sit amet,180,Visionary,Mobile Devices,true
LG X350,908102328-4,95,Kimia,Food - Baking,true,eget nunc donec quis,67,Object-based,Mobile Devices,true
Motorola d520,827847010-3,315,Myworks,Food - Dairy,false,accumsan tortor quis turpis,194,hierarchy,Laptops and Desktops,false
Ericsson SH 888,343016970-4,89,Linktype,Food - Snacks,true,ante ipsum primis in faucibus,208,hybrid,Laptops and Desktops,true
Sony Ericsson W810,044713708-5,107,Edgeblab,Food - Deli,true,pellentesque,68,knowledge user,Mobile Devices,false
Motorola XOOM Media Edition MZ505,219698791-3,487,Twimm,Food - Frozen Foods,true,nulla eget,155,Quality-focused,Laptops and Desktops,false
Nokia 5000,376527644-8,247,Meemm,Kitchen,true,felis,224,Virtual,Mobile Devices,false
Celkon A40,387606087-7,497,Oyonder,Food - Snacks,true,venenatis tristique fusce congue diam,40,,Mobile Devices,false
Allview P5 Qmax,040966233-X,422,Divavu,Accessories,false,bibendum felis,91,content-based,Laptops and Desktops,false
alcatel OT-980,931403540-9,382,Wordpedia,Kitchen,true,eget,44,framework,Laptops and Desktops,true
Samsung Ch@t 350,364411716-0,376,Skyndu,Food - Baking,true,libero non,218,challenge,Mobile Devices,true
Samsung F510,768284000-5,476,Aimbu,Food - Meat,false,elit proin interdum mauris,178,6th generation,Mobile Devices,false
TCL Tab 10s,583253787-4,,Fatz,Clothing - Accessories,false,aliquet ultrices,169,local area network,,true
Plum Axe Plus,130928770-8,167,Flipbug,Food - Snacks,true,porttitor,220,workforce,Laptops and Desktops,true
Nokia N72,840652534-7,381,Flashpoint,Food - Canned Goods,false,mauris enim leo rhoncus sed,185,,Laptops and Desktops,false
Asus M930,688039481-7,400,Yabox,Food - Confectionery,true,non mi integer ac,108,challenge,Mobile Devices,true
Samsung C3560,306916893-0,24,Avamm,Food,true,morbi,,array,Laptops and Desktops,true
Panasonic Eluga Note,986279142-X,229,Meezzy,Smart Home,false,quis orci,190,Triple-buffered,Mobile Devices,false
Amazon Fire HD 10 (2019),529388937-0,468,Zoombox,Food - Breakfast,false,blandit nam nulla,38,Cloned,Mobile Devices,false
O2 XDA Nova,484987296-4,,Bubblemix,Kitchen,true,a feugiat et eros,193,context-sensitive,Laptops and Desktops,true
Sharp Pi,891674966-2,143,Pixoboo,Kitchen,true,,229,projection,Laptops and Desktops,true
Micromax X281,352066709-6,,Browsezoom,Office,true,,105,Seamless,Laptops and Desktops,false
Micromax Canvas Selfie 3 Q348,816398103-2,232,Skyble,Food - Canned Soups,false,accumsan tellus nisi eu orci,146,eco-centric,Mobile Devices,true
QMobile Noir i8,071325576-5,339,Voolia,Food - Snacks,false,interdum venenatis,221,orchestration,Laptops and Desktops,false
Yezz Andy 5.5M LTE VR,537467613-X,35,Twinder,Food - Condiments,true,nulla integer pede,116,data-warehouse,Laptops and Desktops,false
Micromax Canvas Spark 4G Q4201,251225667-7,130,Fivechat,Food - Condiments,true,varius nulla facilisi cras non,56,,Mobile Devices,true
QMobile Noir i9,028622687-1,379,Tagfeed,Food - Beverages,true,vel lectus in quam,206,modular,Mobile Devices,false
Google Pixel,385161899-8,145,Tazz,Baby,false,nulla pede ullamcorper,165,algorithm,Laptops and Desktops,false
Asus Transformer Pad TF701T,774485057-2,120,Browseblab,Home,true,sem,76,architecture,Mobile Devices,false
MWg Zinc II,751716172-5,,Mymm,Tools,false,orci luctus,47,,Mobile Devices,true
Panasonic X200,403735722-4,264,Quinu,Health,true,vel nulla,209,Multi-channelled,Laptops and Desktops,true
verykool s5510 Juno,685758847-3,286,Youspan,Food - Beverages,false,purus aliquet,175,moratorium,Laptops and Desktops,true
Infinix Note 5,153928848-X,334,Eazzy,Food - Snacks,false,mauris lacinia sapien,84,User-friendly,Laptops and Desktops,true
ZTE Avid Plus,647322110-7,339,Divape,Office,false,eu sapien cursus vestibulum proin,13,Open-architected,Laptops and Desktops,false
Motorola Moto E6,041732466-9,39,Rhyloo,Home,true,semper,,,Laptops and Desktops,true
Samsung S6700,693304591-9,495,Yadel,Food - Baking,true,fermentum justo nec,71,Automated,Laptops and Desktops,true
alcatel OT-997,002168475-8,4,Minyx,Garden,true,lacus purus aliquet at feugiat,3,upward-trending,Mobile Devices,false
Fujitsu Siemens T830,928989859-3,21,Trilia,Food - Baking,false,nulla nunc purus phasellus in,86,Configurable,Laptops and Desktops,false
Sony Ericsson W900,219875606-4,391,Realmix,Photography,true,integer tincidunt ante,157,Fully-configurable,Mobile Devices,true
Samsung T429,822065226-8,376,Ooba,Home,false,,230,,Laptops and Desktops,true
Nokia C7,875965771-5,192,Dabtype,Fitness,true,amet sapien dignissim vestibulum,108,systematic,Laptops and Desktops,true
Samsung D500,029918453-6,33,Jamia,Food - Protein,true,semper,63,optimizing,Mobile Devices,false
BLU Life One X3,880597268-1,376,Twitterbridge,Health,false,laoreet,208,Business-focused,,false
alcatel 2040,272442832-3,34,Quaxo,Outdoor,true,auctor sed tristique in,163,Vision-oriented,Laptops and Desktops,false
alcatel Miss Sixty 2009,902112599-4,309,Meevee,Smart Home,false,lectus,38,Integrated,Laptops and Desktops,true
alcatel OT 156,406772350-4,326,,Food - Grocery,true,donec pharetra,6,disintermediate,Laptops and Desktops,false
Samsung Acclaim,546314075-8,329,Livefish,Food - Nuts,true,ante vestibulum,86,Virtual,Laptops and Desktops,true
Karbonn S1 Titanium,203874823-3,219,Oodoo,Outdoor,true,consequat ut nulla,115,Seamless,,false
Lava V2 3GB,322160101-8,335,Riffpedia,Food - Condiments,false,maecenas leo odio condimentum,78,capability,Mobile Devices,false
Qtek 8060,538697412-2,138,Eazzy,Food - Snacks,false,a nibh in quis justo,187,leverage,Mobile Devices,false
Acer beTouch E120,029893527-9,204,Wordtune,Audio,false,odio curabitur convallis,38,Profound,Mobile Devices,true
alcatel OT-V570,475644023-1,214,Dabjam,Pets,true,massa,,,Mobile Devices,false
Nokia 108 Dual SIM,559426377-2,498,Tagfeed,Pets,true,consequat nulla nisl nunc nisl,102,paradigm,Mobile Devices,false
ZTE Tempo Go,264674086-7,455,Browsebug,Food - Salads,true,maecenas tincidunt lacus,224,Networked,Laptops and Desktops,false
Gionee S6s,521808465-4,337,Zoozzy,Pets,true,vel augue vestibulum rutrum,162,,Laptops and Desktops,true
Oppo A9 (2020),602793626-6,488,Flashpoint,Electronics,true,nulla nunc purus phasellus,13,Multi-tiered,,false
Asus V75,615387953-5,242,Rhynyx,Home,false,sapien a libero,43,analyzer,Mobile Devices,false
Bird S1160 Plus,688194372-5,341,Skivee,Home,false,mattis pulvinar,109,Open-architected,Mobile Devices,true
HTC Desire 300,822852494-3,465,Nlounge,Kitchen,true,magnis dis parturient montes,67,service-desk,Laptops and Desktops,false
Gigabyte GSmart Classic Lite,326012291-5,304,Eare,Food - Baking,true,dis parturient montes,79,human-resource,Mobile Devices,false
Honor X10 5G,929516909-3,191,Oodoo,Food - Condiments,true,viverra diam vitae quam,5,Phased,Mobile Devices,false
Kyocera Brigadier,793044719-7,377,Feednation,Home,false,rutrum neque aenean auctor gravida,66,Cloned,Mobile Devices,false
Motorola CUPE,360371763-5,191,Wordtune,Food - Canned Goods,true,ipsum aliquam non mauris,229,asymmetric,Mobile Devices,false
Lenovo IdeaTab S6000H,731047870-3,436,Brightdog,Food - Salads,true,amet eros suspendisse accumsan,,projection,,true
Samsung C3330 Champ 2,789272917-8,34,Lazz,Food - Breakfast,false,consectetuer adipiscing elit proin,74,client-driven,Mobile Devices,true
BLU Tattoo S,076213518-2,500,Yata,Food - Spices,false,,,,Mobile Devices,false
HP Elite x3,707077837-6,428,Cogibox,Wearable Tech,false,integer aliquet massa id,5,24 hour,Laptops and Desktops,true
verykool i240,082544803-4,,,Kitchen,true,dis parturient montes,209,Assimilated,Laptops and Desktops,true
Nokia 7500 Prism,126743051-6,105,Innotype,Food - Frozen Foods,false,,63,Sharable,,true
Micromax Q3,499493077-5,374,Skiba,Food - Gourmet Rice,false,,135,neutral,,false
Nokia 6282,092588236-4,377,Babbleopia,Food - Condiments,false,,140,client-server,Laptops and Desktops,false
Motorola A925,483805850-0,,Eire,Food - Snacks,false,nonummy,188,Reduced,Mobile Devices,false
Toshiba TS605,234821402-4,195,Tambee,Food - Pasta,true,eget tincidunt eget tempus,67,website,,false
Icemobile Twilight,296908585-2,175,Photobug,Audio,false,libero quis,214,dedicated,Mobile Devices,false
Samsung Galaxy A72,281548090-5,,Midel,Home,false,eleifend quam a odio,95,Persevering,Mobile Devices,true
Bird M19,800640185-3,192,Skyvu,Food - Baking,true,leo rhoncus sed vestibulum sit,198,Cloned,Mobile Devices,true
alcatel One Touch Pixi,530795364-X,364,Twimm,Food - Meat,false,luctus,109,,Mobile Devices,false
Sony Ericsson Z530,330748675-6,285,Nlounge,Accessories,false,morbi,19,interface,,true
Motorola EM30,836323154-1,182,Fivechat,Audio,true,,,,Laptops and Desktops,true
LG U8360,188618612-X,,,Fitness,true,odio in,169,multimedia,Laptops and Desktops,true
Samsung Galaxy Appeal I827,241797384-7,86,Twitternation,Books,false,sit amet sem fusce consequat,217,Configurable,,false
LG Xpression C395,693500479-9,164,Thoughtbridge,Food - Snacks,false,eu mi nulla,65,structure,Laptops and Desktops,true
Motorola Moto G5 Plus,758897970-4,466,,Food - Baking,false,nunc rhoncus,177,Digitized,Laptops and Desktops,true
