Name,Tag Color,EULA,Use Default EULA,Require Acceptance,Alert on Response,Category Type,Send Checkin Email,Notes
Lighting,#c1a420,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",true,false,true,accessory,false,toolset
Outdoor Accessories,#0abc94,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",false,false,true,license,true,implementation
Baking Kits,#20ca64,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",true,true,true,accessory,false,holistic
Canned Fruits,#a36d0b,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",true,false,true,asset,true,asymmetric
Mixes,#f51480,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,false,false,license,false,archive
Fruit Chutneys,#31ce61,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,false,false,true,license,true,Secured
Nuts and Seeds,#3a7445,In congue. Etiam justo. Etiam pretium iaculis justo.,true,false,false,asset,false,upward-trending
Car Interior Accessories,#82721a,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",true,false,false,license,false,asynchronous
Grooming Supplies,#369b0a,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",true,false,false,component,false,secondary
Household Supplies,#472fa4,,false,true,false,component,false,structure
Kitchen Storage & Organization,#398656,,true,true,false,asset,true,next generation
Pet Health and Care,,,true,true,false,component,true,Universal
Whole Grains,#6889d6,,false,true,true,consumable,true,approach
Breads,#fa1b5b,,false,false,true,asset,false,hub
Outdoor Accessories,#0c0330,,true,false,false,asset,true,tangible
Outdoor Cleaning,#230fee,,true,false,true,consumable,false,user-facing
Frozen Vegetables,#e96ccb,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",true,true,false,component,false,Multi-layered
Asian Sauces,#bacfad,,true,false,false,license,false,budgetary management
Baking Mixes,#e601a8,,false,true,false,asset,true,dedicated
Eco-Friendly Toys,#aa650b,,true,true,false,asset,false,leading edge
Power Accessories,#9769b6,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false,true,false,license,true,implementation
Automotive Accessories,#f9cfcf,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",true,false,true,license,true,value-added
Canned Fruits,#cf6c05,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false,true,false,asset,true,Automated
Miniature Sports Games,#bafba8,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",true,true,false,consumable,false,concept
Vegetarian Salads,,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",false,true,true,asset,true,architecture
Poultry,#d590d1,,true,false,false,accessory,true,Exclusive
Herbs and Spices,#166572,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",true,false,false,license,true,product
Cooking Tools & Utensils,,,false,false,false,accessory,false,Assimilated
Smart Lighting,#417257,,true,false,true,component,false,Open-architected
Board Games,#1afbd2,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",false,true,false,consumable,false,data-warehouse
Fitness Equipment,#bb3d34,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,true,true,true,component,false,didactic
Storage Devices,#68c10a,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",false,true,true,component,false,Compatible
Dressing,#b7650d,,true,false,true,consumable,false,info-mediaries
Savory Breakfast Options,#2fc1ed,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",false,false,true,license,true,Polarised
Indoor Gardening Supplies,#357552,,false,false,false,consumable,true,Realigned
Camping Equipment,#94ae6c,,true,false,false,asset,true,content-based
Productivity,#595ec5,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",true,true,true,license,false,Reactive
Cycling Accessories,#403a65,,true,true,false,consumable,true,database
Marinades and Sauces,#423a19,,false,false,false,asset,true,multimedia
Lighting,,,false,true,true,license,false,didactic
Kitchen Gadgets,#0a412c,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",false,true,true,asset,false,incremental
Wellness & Relaxation,#2a8c50,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",false,true,false,component,true,Ergonomic
Pain Relief & Therapy,#aff523,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",true,true,false,accessory,true,Down-sized
Rice Dishes,#d97389,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",false,true,true,license,false,Digitized
Wearable Technology,#43e92f,,true,false,false,consumable,true,contextually-based
Sparkling Beverages,#2f0ad7,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",true,false,false,asset,true,non-volatile
Seasoning Blends,#6d5ad7,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,false,true,false,asset,false,encoding
Mobile Accessories,#6c7c51,,false,true,false,component,true,emulation
Training Supplies,#eeec37,,false,false,true,accessory,true,focus group
Women's Tops,#7554f8,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,true,false,false,component,false,Expanded
Small Appliances,,,true,false,false,license,true,Universal
Office Supplies,#1416c5,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",false,true,true,component,true,local area network
Cheese,#b01fdf,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",true,false,false,consumable,true,content-based
Leggings,#a5c00b,,false,false,false,asset,false,modular
Camping Equipment,#3a2a33,In congue. Etiam justo. Etiam pretium iaculis justo.,true,false,true,accessory,true,internet solution
Healthy Desserts,#e0aad7,,false,true,true,accessory,true,Devolved
Baking Accessories,#6641f6,,false,false,true,accessory,false,Synergized
Nutritional Supplements,#9c0541,,false,false,true,consumable,false,secondary
Coffee Accessories,#07a6d5,,true,false,false,component,false,Up-sized
Food Storage Solutions,#c356df,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",false,false,true,consumable,false,Optional
Wraps/Rolls,#a25a60,,true,true,false,asset,false,dedicated
Outdoor Accessories,#d7e64e,,true,false,true,license,true,knowledge base
Nuts and Seeds,#f65e52,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,false,false,false,accessory,false,national
Soups & Broths,,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,true,false,true,license,false,Front-line
Soccer,#88087c,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",false,false,false,component,false,Digitized
Prepared Seafood,#6371eb,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",true,true,false,license,true,needs-based
Frozen Appetizers,#1aeb2f,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",true,false,false,accessory,true,reciprocal
Drinkware,#b43d7a,,true,true,false,component,false,Grass-roots
Frozen Snacks,#fab9ce,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",false,true,true,license,false,motivating
Gaming Accessories,#cae711,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",false,true,true,accessory,false,productivity
STEM Learning Toys,#b88939,,false,false,true,asset,false,24/7
Gourmet Rice,#a885b9,,false,true,false,asset,false,Managed
Oral Care & Hygiene,#4f92cc,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",false,false,true,license,true,Devolved
Bedding & Linens,#33077e,,true,false,true,asset,true,Versatile
Mixes,#0c98f9,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",true,true,true,asset,false,multi-state
Lighting,#cd8bfd,,true,false,true,component,false,empowering
Ice Cream Flavors,#a37627,,false,true,false,license,false,asymmetric
Pork,#e3e634,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",true,false,true,accessory,true,full-range
Garden Supplies,#21f2fc,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",false,true,true,accessory,false,web-enabled
Small Appliances,#1568fc,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,true,true,true,license,true,internet solution
Travel Accessories,,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",false,false,true,asset,true,Realigned
Prepared Meals,#98bea8,,true,true,false,consumable,false,Customizable
Marinades and Sauces,#33f7b2,,false,true,true,asset,false,Monitored
Asian Sauces,#de6c58,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",false,true,false,consumable,false,neural-net
Travel Accessories,#c56e5b,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,false,false,true,component,true,database
Accessories,#0d9dac,,false,true,true,consumable,true,Down-sized
Cookware,#c95f18,,true,true,true,asset,true,toolset
Beverage Appliances,,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",true,false,true,asset,false,Graphical User Interface
Chocolate Desserts,#36e054,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",false,false,true,asset,true,solution
Oral Care & Hygiene,#2484af,,false,true,false,consumable,true,task-force
Herbs and Spices,#3c1d84,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",true,false,false,component,true,Multi-channelled
Frozen Appetizers,#52d9ee,,false,true,true,asset,true,intranet
Small Appliances,#8704d9,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",false,false,false,asset,false,artificial intelligence
Lighting & Lamps,#86e284,,true,false,true,component,true,dynamic
Lighting,#d9a3f3,,true,false,false,accessory,true,24/7
Cooking Appliances,#0e23ff,,true,true,false,accessory,false,leverage
Hydration Gear,#8a1895,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",false,false,true,component,true,Robust
Seasonings & Mixes,#842393,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",true,true,true,asset,true,high-level
Sustainable Tableware,#44cf54,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",false,true,true,accessory,true,workforce
Regional Seasoning Blends,#3cc353,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",false,false,true,license,true,bandwidth-monitored
Candy,#2e5b11,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",true,false,false,component,false,heuristic
Phone Accessories,,,true,false,true,asset,true,multi-tasking
Office Supplies,#b56224,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",true,true,false,consumable,true,mission-critical
Seasonal Home Decor,#b4d236,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",true,true,false,asset,false,client-driven
Fitness Monitors,#81fef7,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",false,false,true,asset,true,info-mediaries
Nuts and Trail Mix,#8854cf,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,true,true,true,component,false,model
Women's Tops,#434bd1,,true,false,false,asset,false,support
Soups & Broths,#95690a,,false,false,false,license,false,Multi-tiered
Pet Accessories,#81c255,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",false,false,false,license,true,bandwidth-monitored
Outdoor Furniture,#b21973,,false,true,false,asset,false,Innovative
Camping Equipment,#2f0891,,true,true,true,consumable,false,Streamlined
Skincare,#a0727e,,false,true,false,accessory,true,middleware
Coffee Equipment,#49e7ef,,true,true,false,consumable,false,regional
Vegetarian Meals,#35e708,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",true,true,true,accessory,true,Extended
Kitchen Gadgets,#3d55e7,,true,true,false,asset,false,product
Snacks,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",true,false,true,component,true,support
Cheese Spreads,#002332,,false,false,true,license,true,productivity
Sweet Snacks,#e6fcb7,,false,false,true,accessory,true,Implemented
Solar Power Accessories,#d78d89,,false,true,false,accessory,true,Face to face
Sweet Snacks,#b84dd7,,false,true,true,license,false,benchmark
Frozen Meat Products,#5e391d,,true,true,true,asset,false,discrete
Board Games,#d62260,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",false,true,false,license,true,emulation
Garden Tools,#2aaf43,,true,false,false,accessory,true,Multi-layered
Grilling Accessories,#659479,,false,false,true,license,false,Total
Camping Equipment,#f8e95d,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",false,false,true,accessory,false,ability
Meat Products,#58ba89,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",false,false,false,component,true,Streamlined
Baking Accessories,#29f775,,false,true,true,license,true,systemic
Home Organization,#82a520,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",true,false,true,consumable,true,Public-key
Small Appliances,#985820,,false,true,false,accessory,false,Reactive
Mustards,#612bbc,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",true,false,true,accessory,false,architecture
Natural Beverages,,,false,true,true,component,false,focus group
Decorative Wall Art & Accessories,#528056,,true,true,false,consumable,false,Diverse
Coffee Accessories,#d8b7f7,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",false,true,false,consumable,true,bandwidth-monitored
Salsas & Dips,#7a7229,,false,false,true,consumable,false,middleware
Baking Ingredients,#18c78e,,true,false,false,license,false,Reduced
Salads,#3f2a8c,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",false,false,true,license,false,tangible
Seafood,#40236e,,false,false,false,license,true,dynamic
Mixes,#fdb0a0,,true,true,false,consumable,true,Virtual
Audio Accessories,#a32468,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",true,false,false,consumable,false,hybrid
Kitchen Accessories,#b166b0,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",false,true,true,asset,false,bandwidth-monitored
Bread & Rolls,#07990e,,false,true,true,accessory,true,Ameliorated
Specialty Rice,#8b1c0d,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",false,true,true,component,true,function
Pet Accessories,#bd7785,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",true,true,false,license,true,methodical
Educational Toys,,,true,false,false,component,false,implementation
Frozen Vegetables,#0285bb,,false,true,true,accessory,false,product
Bedding & Linens,#91bc3d,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",true,false,false,license,true,secondary
Sweet Snacks,#abe102,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",false,false,true,component,false,object-oriented
