Name,Category,Location,Supplier,Company,Quantity,Minimum Quantity,Model Number,Item Number,Notes,Manufacturer,Purchase Date,Purchase Cost,Order Number
Electric Toothbrush Holder,Health,Megalópoli,,Pixonyx,64,10,275525085-2,957707632-7,Sanitary holder that ensures your toothbrush stays clean.,Realpoint,2025-08-11,78.49,103103671
Apple Sauce,Food - Canned Goods,Nepomuceno,Camimbo,Voolith,25,55,636215181-X,695025130-0,"Unsweetened apple sauce, great for snacks or baking.",Topicshots,2025-10-18,51.31,211170088
Artisan Cornbread Mix,Food - Baking,Malian,Jetpulse,Devpoint,55,46,163185378-3,616857461-1,,Roomm,2025-03-15,,091901202
LED Makeup Mirror,Beauty,Kīevka,Cogilith,Zazio,33,90,636336277-6,,Illuminated vanity mirror with adjustable brightness settings.,Blogtags,2025-01-17,6.07,122101010
Portable Solar Path Lights,Outdoor,Al ‘Aqabah,Skibox,Agimba,91,82,535625726-0,296062542-0,Eco-friendly solar lights for pathways and gardens.,Muxo,2026-01-09,64.32,043318092
Handcrafted Wooden Jewelry Box,Accessories,Toledo,Tazzy,Jaloo,61,42,179649549-2,422387613-9,Beautifully crafted jewelry box with compartments for storage.,,2025-10-23,53.89,111909867
Energy Protein Bars,Food - Snacks,San Miguel Chicaj,Miboo,LiveZ,78,31,498414515-3,603236231-0,Nutritious bars packed with protein for energy,Jaxnation,2026-02-09,,
Compact Electric Kettle,Kitchen,Vulcan,,Pixonyx,9,6,451917396-5,101975295-5,Quick-boiling kettle for home and office use.,Voonder,2025-03-06,14.54,075907442
Dried Apricots,Food - Dried Fruits,Olofström,Katz,Avavee,40,34,262112623-5,326149305-4,"Sweet, chewy dried apricots, great for snacking or baking.",Skaboo,,47.66,072013915
Indestructible Dog Toy,Pets,Dazi,Nlounge,Lazzy,45,30,158630940-4,893954000-X,Durable toy designed for heavy chewers.,Jetwire,2025-11-18,36.4,067091719
Travel Organizer,Travel,Glamoč,Eamia,Edgeclub,22,54,807369111-6,327116819-9,Compact travel organizer for accessories and toiletries.,,,97.77,067012921
Foldable Picnic Table,Outdoor,Tiecun,Demimbu,Eazzy,97,11,247702377-2,059060197-0,Lightweight and portable picnic table for outdoor use.,Trudeo,2026-01-01,35.15,101105927
Utility Cargo Pants,Clothing - Pants,Desa Margaluyu,Photobug,Realbridge,78,46,269148220-0,477732536-9,Practical cargo pants with lots of pockets for functionality.,Trupe,,12.78,311078802
Bamboo Utensil Set,Kitchen,Legen,Jayo,Skajo,26,66,873261978-2,262894096-5,Sustainable bamboo utensils for cooking and serving.,Quinu,2025-06-29,36.91,
Under Desk Footrest,Office,Oslo,,Voolia,46,77,,459709614-0,Adjustable footrest for improved comfort while sitting.,Wordify,2025-07-30,75.27,042102160
Measuring Cups Set,Kitchen,,Voomm,Zooxo,90,13,550685211-8,,Stackable measuring cups made from stainless steel.,,2025-08-12,72.49,113024177
Computer Monitor Stand,Office,Kista,,,64,7,622273575-4,379942988-3,Ergonomic monitor stand for improved workspace organization.,Skajo,2025-05-23,25.5,113110984
Pet Grooming Kit,Pets,Sanhu,Twinte,Flipopia,30,13,996527442-8,939723703-9,Complete grooming kit for dogs and cats.,Zoombeat,2025-03-25,80.52,104900721
Sports Water Bottle with Infuser,Fitness,Kampungraja,Gabcube,Devbug,72,45,717685254-5,519025293-0,,Yakijo,2025-11-13,98.71,
Puzzle Mat,Toys,Songyuan,Brainbox,Mydo,84,97,357717222-3,023873653-9,Foldable mat for jigsaw puzzle assembly.,Devbug,2025-05-29,14.01,053112136
Plant Growing Kit,Garden,Concórdia,Myworks,Roombo,80,21,,651591205-6,Complete kit for growing herbs indoors.,Jaxworks,2025-09-19,67.1,112207209
Maple Almond Butter,Food - Nut Butters,Kompóti,,Shuffledrive,60,37,694578192-5,901292116-3,Creamy almond butter sweetened with maple syrup for a delicious spread.,Cogibox,2026-01-21,30.05,226071004
Chili Beans in Sauce,Food - Canned Goods,Flora,Realcube,Ainyx,26,41,335668075-7,422941649-0,Canned beans cooked in a savory chili sauce,Yambee,,34.95,101104342
Hibiscus Herbal Tea,Food - Beverages,Hanover,Twiyo,Gigaclub,76,42,215146638-8,331599113-8,"Floral and refreshing herbal tea, great hot or iced.",Feedmix,2025-11-19,40.62,107003418
Puzzle Mat,Toys,Mpigi,Linkbridge,Rhyzio,34,34,120564152-1,907257495-8,Foldable mat for jigsaw puzzle assembly.,Rhynyx,2025-04-27,13.69,104900721
Air Fryer Oven,Kitchen,Wadungasri,Dynabox,Voonte,54,21,299879554-4,426915465-9,"Versatile air fryer that also roasts, bakes, and broils.",Talane,2025-02-19,,104000016
Rice Cakes,Food - Snacks,Salt Lake City,Demizz,Fiveclub,74,76,802264981-3,549728318-7,"Light and crispy rice cakes, a perfect low-calorie snack.",Quimm,,57.03,101903637
Energy Protein Bars,Food - Snacks,Batan,Tekfly,Livefish,48,48,545927160-6,113084666-0,Nutritious bars packed with protein for energy,Youtags,2025-12-08,58.52,
Safety First Aid Kit,Health,Itapé,Eire,Photofeed,54,9,214190516-8,935527717-2,Comprehensive first aid kit for home or travel emergencies.,Nlounge,2025-11-18,55.09,062202134
Classic Chicken Noodle Soup,Food - Canned Goods,Shijiao,Cogilith,Zooxo,96,36,509751813-6,354619122-6,A comforting soup filled with chicken and noodles in broth.,,,16.54,114922265
Stainless Steel Grater,Kitchen,Rättvik,,Kare,83,17,143105495-X,883553167-5,Multi-functional grater for cheese and vegetables.,Realbridge,2025-06-24,26.0,
Fitbit Activity Tracker,Fitness,Ранковце,Linktype,Reallinks,47,92,995929214-2,514164346-8,Advanced wristband that tracks daily activities and sleep.,Flipopia,2025-10-24,23.01,101106560
Sweet Potato Tots,Food - Frozen Foods,,Podcat,Kwimbee,76,63,349061724-X,531339972-1,"Crispy sweet potato bites, delicious as a side or snack.",Zoonoodle,2025-05-05,98.17,
Pineapple Coconut Yogurt,Food - Dairy,Silago,,Eabox,43,92,876349084-6,196670234-5,Creamy yogurt blended with fresh pineapple and coconut pieces.,Photojam,,25.22,031376017
Pet Training Clicker,Pets,Simão Dias,Photojam,Edgeblab,51,36,223438220-3,019260940-8,Simple tool to train your pet with positive reinforcement.,,2025-06-01,77.2,325180414
Sturdy Bookends,Office,,Voolia,Bubblebox,75,100,084947058-7,643481363-5,,Gabcube,2026-01-11,46.32,104913912
Pepper Jack Cheese Sticks,Food - Snacks,Poniatowa,,Brightdog,25,49,147384161-5,893532702-6,,Wordware,2025-04-17,90.82,121135773
Sour Cream,Food - Dairy,Besançon,Kwinu,Chatterbridge,31,2,665442578-2,809864357-3,"Tangy sour cream, perfect for dips and toppings.",Blogtag,2025-10-30,35.75,061108161
Chili Beans in Sauce,Food - Canned Goods,Bamusso,Wordtune,Skiptube,91,82,606524452-X,054157564-3,Canned beans cooked in a savory chili sauce,Pixonyx,2025-05-01,15.38,
Frozen Berry Blend,Food - Frozen Foods,Pokachi,Browsecat,,46,34,239461459-5,398683368-4,A mix of frozen berries for smoothies or desserts,Meejo,,63.87,081908590
Classic BBQ Sauce,Food - Condiments,Ribeirão Pires,Skalith,Omba,86,38,069593801-0,603385467-5,Smoky and sweet BBQ sauce for grilling and dipping.,Blogspan,2025-12-04,37.44,251573182
Fitness Tracker with Heart Rate Monitor,Fitness,La Libertad,,Brainverse,54,19,498453129-0,111702880-1,Wearable device to track fitness activities and heart rate.,Vidoo,2026-01-27,55.41,111104921
Gardening Fairy Figurines,Garden,Chrysoúpolis,Tavu,Divanoodle,57,81,878353690-6,234134058-X,Cute fairy figurines to decorate your garden or potted plants.,Buzzbean,2025-12-16,61.55,271974033
Italian Marinara Sauce,Food - Sauces,Babahoyo,Browseblab,Wikizz,63,39,588400839-2,264109320-0,"Classic marinara sauce for pasta, pizza, or dipping.",Dazzlesphere,2025-10-28,67.22,107003829
Peach Mango Smoothie,Food - Beverages,Gaoping,Tagcat,Zoonder,52,19,818594207-2,013528659-X,A refreshing blend of peaches and mangoes for a delicious smoothie.,Youspan,2025-09-12,23.28,104905742
Electric Skillet,Kitchen,Ţūbās,Gabspot,Topdrive,28,63,230508953-8,609914141-3,Versatile electric skillet for stir-frying and searing.,Riffpath,2025-06-16,,102100992
Artisan Cornbread Mix,Food - Baking,Nanmen,Edgetag,Skippad,26,56,825694485-4,554602942-0,"Mix for homemade cornbread, just add water and bake for a delicious side.",Thoughtstorm,,95.45,103109374
Warm Knit Beanie,Clothing - Accessories,Sishan,Camimbo,,14,47,706279828-2,043524433-7,Stay warm with this stylish knit beanie in various colors.,Vinder,2025-12-26,75.88,321175180
Coconut Cream Pie Yogurt,Food - Dairy Alternatives,,Quamba,Demimbu,19,21,,603058683-1,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",Edgewire,2025-01-12,11.55,091409762
Organic Apples,Food - Produce,,Tagpad,Dabshots,15,30,778391367-9,316180545-3,Crisp and delicious organic apples.,Edgetag,,24.03,322273405
Smartphone Photography Ring Light,Photography,Lyubashivka,Jayo,Skidoo,16,67,941301876-6,294494726-5,Portable ring light that enhances your photos with perfect lighting.,,2025-07-22,38.37,064109057
Juice Extractor,Kitchen,Obesi,Thoughtbeat,Realpoint,77,64,799561103-X,228374781-3,Efficient juicer for fresh fruit and vegetable juices.,InnoZ,2025-11-06,59.4,043308277
Mini Indoor Herb Garden Kit,Garden,Amarillo,Rhyloo,Browsezoom,43,22,961041248-3,917005091-0,All-in-one kit for growing herbs in your kitchen.,Mydo,2025-08-22,18.45,111322570
Organic Vanilla Bean Ice Cream,Food - Frozen Desserts,Tapilon,,Jazzy,32,13,835260391-4,777107329-8,,Shufflebeat,2025-03-21,62.16,074906826
Golf Polo Shirt,Clothing - Tops,Ořechov,,Jetpulse,84,75,550935353-8,736661490-4,Breathable polo shirt designed for both style and comfort on the greens.,Digitube,2025-12-25,67.56,124103799
Mini Food Processor,Kitchen,Sande São Martinho,Buzzdog,Eimbee,39,48,088648645-9,252932249-X,Compact food processor for quick meal prep.,Gigazoom,,38.25,
Voice-Controlled Speaker,Audio,Mölnlycke,Skibox,Jaxbean,26,63,724515690-5,750031554-6,Smart speaker with Alexa and music streaming features.,Skyndu,2026-01-02,20.71,083903195
Elegant Maxi Skirt,Clothing - Bottoms,Jisegumen,Jaloo,Brainverse,34,41,107868740-4,946195289-9,Float through the day in this beautiful floor-length skirt.,Shufflebeat,2025-06-16,69.59,083902316
Graphic Print Leggings,Clothing - Activewear,Florencia,Kwinu,Linkbuzz,98,15,370371796-3,034529975-2,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",Blogtag,2025-06-20,70.13,091501767
Wi-Fi Enabled Smart Light Switch,Smart Home,Rolândia,Zava,,39,83,,153023644-4,Control your lights remotely with a smartphone app.,Skipstorm,2026-01-05,29.1,053100355
Vegetarian Sausage Links,Food - Meat Substitutes,Sidaharja,Devpoint,Roombo,43,31,043836414-7,674069784-1,,Cogidoo,2025-01-10,61.8,065301689
Stainless Steel Straws,Kitchen,Bastos,Vidoo,Yotz,19,8,112413032-2,138021092-5,,Yata,,10.01,222370440
Foot Spa Bath Massager,Health,,Fliptune,Bluejam,47,86,446573678-9,409943159-2,Relax and soothe tired feet with this foot spa.,Voolith,,51.72,071004158
Whole Wheat Pasta,Food - Grains,,Ozu,Oyonder,3,68,666891784-4,891371329-2,Nutritious and hearty pasta made from whole wheat flour.,Linkbuzz,2025-06-08,59.79,
Cable Knit Cardigan,Clothing - Outerwear,Umm as Sāhik,Topicblab,Eadel,41,56,026982151-1,,Cozy cable knit cardigan to layer during chilly evenings.,,2025-01-12,34.32,125106986
Customizable Wall Calendar,Office,Hualongyan,Mynte,Twitterlist,99,47,174997630-7,136402428-4,Personalize your calendar with photos and special dates.,Lazzy,2025-08-02,,021308817
Cheddar Cheese Crackers,Food - Snacks,,Vipe,Trudoo,5,24,485619853-X,318052191-0,Crunchy crackers topped with real cheddar cheese flavor.,Miboo,2025-12-07,85.73,107002846
Compact Refrigerator,Home Appliances,Tamnag,Buzzshare,,27,45,482013103-6,234158908-1,Mini refrigerator ideal for small spaces.,Chatterpoint,2025-08-26,54.33,122016066
Chocolate Dipped Fruit,Food - Snacks,,,Tagtune,29,6,286789694-0,851752752-6,"Fruits dipped in rich chocolate, perfect for desserts.",Eamia,2026-02-10,4.43,
Sliced Cheese,Food - Dairy,Xigou,,Tazzy,5,94,123825645-7,766827639-4,"Assorted sliced cheese, perfect for sandwiches.",Rhynyx,2025-12-19,57.89,071004530
Digital Photo Frame,Home,Ja Ela,Youspan,Camido,20,65,392809432-7,057112461-5,Wi-Fi-enabled digital frame for displaying photos.,Fivebridge,2025-10-04,14.01,091403865
Classic Caesar Dressing,Food - Condiments,Periyiáli,Skyndu,Quinu,81,2,,125169792-5,Rich and creamy Caesar dressing for salads and wraps.,,2025-09-10,33.31,101217750
Bicycle Lock,Bicycles,,Dabtype,Roomm,90,42,788399915-X,515253830-X,Heavy-duty bicycle lock for security.,Yombu,2025-05-26,22.16,104102574
Gluten-Free Brownies,Food - Baking,Kryvichy,Skinder,Dynava,47,30,,606617877-6,"Decadent brownies made without gluten, rich and chocolatey.",,2025-03-01,25.92,104106583
Fitbit Activity Tracker,Fitness,Puor,Kayveo,Snaptags,31,28,199326409-4,987687034-3,Advanced wristband that tracks daily activities and sleep.,Kwideo,2025-02-14,77.25,086519311
Travel Eye Mask with Ear Plugs,Travel,Golem,Skiptube,Aimbu,28,24,640453483-5,649540872-2,Comfortable eye mask that includes noise-canceling ear plugs.,Feedbug,2025-02-03,19.1,081908590
Digital Wireless Camera,Home Security,Gaoxu,,Blogtag,20,97,130678859-5,915348125-9,Secure digital wireless security camera system.,Brightdog,,1.05,
Pizza Stone,Kitchen,Sancha,Zoombeat,Jazzy,88,58,914154169-3,825293886-8,Ceramic pizza stone for homemade pizzas.,Ooba,2025-10-29,56.29,
Portable Pet Pooper Scooper,Pets,Ad Dīwānīyah,Photobug,Katz,83,40,681342677-X,062761858-8,Compact scooper for easy waste clean-up during walks.,Ntag,2025-11-29,17.04,
Savory Oatmeal,Food - Breakfast,Tsalgar,LiveZ,Vitz,25,52,879479357-3,077711238-8,Oatmeal made with savory spices and vegetables.,Jazzy,2025-05-24,99.7,041205673
Wireless Game Controller,Gaming,,Twitterwire,Gabcube,97,29,056049570-6,399045138-3,Ergonomic wireless controller for gaming consoles.,Skajo,2025-06-24,83.44,122106154
Hibiscus Tea Bags,Food - Beverages,Lameiras,Vimbo,BlogXS,70,85,696068697-0,891009657-8,Herbal tea bags made from dried hibiscus flowers.,Plajo,2026-01-24,68.68,311373125
Smart Water Bottle with Hydration Reminder,Fitness,Hedi,Flashset,Flipbug,93,87,183543639-0,548694764-X,Bottle that tracks your water intake and reminds you to drink.,Yombu,,91.05,082907464
Pet Reflective Vest,Pets,Paujiles,Jabberbean,Mycat,77,50,682496471-9,903353977-2,Safety vest for pets during nighttime walks.,Zoombeat,2025-05-23,53.12,104106509
Organic Black Rice,Food - Grains,Apartadó,Eabox,Linkbuzz,97,33,792058361-6,136737300-X,"Nutty and chewy black rice, high in antioxidants.",Jaxworks,2026-01-11,,053112039
Durable Hiking Boots,Footwear,Gorjani,Bluezoom,Yabox,65,69,265689222-8,342246631-2,Comfortable and rugged boots designed for hiking.,Brainverse,,14.6,092901175
Mixed Berry Smoothie Pack,Food - Frozen Food,El Colorado,Devbug,Voonte,53,68,380539544-2,165418350-4,"Frozen berries blend perfect for smoothies, just add yogurt.",Rhybox,2026-01-13,42.67,242071237
Herb Garlic Butter,Food - Condiments,La Curva,Topicstorm,Skyba,96,61,994775017-5,202875375-7,"A flavorful garlic butter blend, perfect for cooking or baking.",Reallinks,2025-03-26,40.45,
Eggs (dozen),Food - Dairy,Birendranagar,Ntags,,51,84,742939209-1,981014752-X,"Farm fresh eggs, essential for breakfast.",Wikizz,2025-01-07,98.02,122041523
Multi-Function Smartphone Holder,Electronics,Dongting,Bubblebox,Zooveo,69,30,840294044-7,963433972-7,,Digitube,,63.24,
Popcorn Chicken,Food - Frozen,Chak Two Hundred Forty-Nine TDA,Jaxbean,Wordtune,85,69,943546676-1,166732588-4,"Crispy chicken bites, perfect for dipping.",Viva,2025-08-23,92.99,021000128
Stylish Wide-Leg Trousers,Clothing - Bottoms,,Jayo,Skipfire,42,71,613375349-8,549110500-7,,Voonyx,2025-04-04,83.54,071905095
Folding Pocket Knife,Tools,,Twinte,Plambee,21,10,061058888-5,768189106-4,Compact knife with safety lock for everyday use.,Realblab,2025-04-11,,114903190
Elderberry Syrup Kit,Health,Asempapak,Topicware,Roodel,91,84,403889809-1,,DIY kit to make your own elderberry syrup.,Youtags,,43.21,064201832
Teriyaki Salmon Fillets,Food - Seafood,Fengcheng,Divanoodle,Abatz,39,37,074474905-0,911154478-3,,Blogpad,2025-01-03,,071900786
Fresh Basil Pesto,Food - Sauces,Shirone,Oyonder,Buzzbean,71,18,537132454-2,291362528-2,"A fresh, flavorful basil pesto for pasta and more",Chatterbridge,2025-02-28,64.47,304971987
Baked Falafel,Food - Vegetarian,Stockholm,Flashspan,InnoZ,66,10,174339993-6,818924253-9,"Crispy baked falafel balls, perfect for salads",Yata,,13.59,
Adjustable Dog Harness,Pets,Bunigeulis,Vidoo,Vinder,39,47,841509596-1,011476939-7,Comfortable and adjustable harness for dogs.,,2025-10-21,19.35,021206566
Sliced Strawberries,Food - Fruits,Shalang,Meevee,Yodoo,15,34,495576919-5,320789616-2,Fresh sliced strawberries for toppings or snacking,,2025-03-14,49.79,053112039
Portable Bluetooth Headphones,Audio,Athmuqam,Oyoyo,Trupe,89,31,068388145-0,005273235-5,Wireless headphones with noise-canceling features.,Tavu,2025-12-21,76.68,221471858
Butternut Squash Ravioli,Food - Frozen Foods,Randegan,Leexo,Aibox,31,24,246513787-5,131353991-0,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",Skinix,2025-01-20,88.67,114000776
Honeycrisp Apple Chips,Food - Snacks,Slobodskoy,Kazu,Gevee,66,43,558855604-6,001859738-6,Crispy and sweet dried apple slices,Vitz,2025-07-28,71.56,111909605
Mini Hand Gesture Drone,Toys,,Topicblab,Riffwire,60,83,028514404-9,795346711-9,,Rhybox,2025-04-13,22.11,104908082
Pet Travel Bed,Pets,Staffanstorp,Oyope,,88,60,150990116-7,200073507-X,Portable bed for pets while traveling.,,2025-01-24,86.68,075911616
Animal Paw Print Soap Dispenser,Home,Santa Rosa,Divape,Mybuzz,29,20,098330388-6,161474009-7,Cute dispenser for bathrooms or kitchens featuring paw prints.,,2025-08-14,96.62,
Chickpea Flour,Food - Baking,Harper,Yakitri,Linktype,83,15,117898591-1,946978503-7,"Gluten-free flour made from ground chickpeas, great for cooking.",Camimbo,2025-10-27,44.55,021300336
Silicone Baking Molds,Kitchen,Tolú,Rhybox,Reallinks,4,2,977052706-8,797618240-4,Set of flexible molds for baking cakes and pastries.,Dynazzy,2025-05-05,,044000011
Kale Chips,Food - Snacks,Hamm,,Quinu,91,20,642803569-3,778666976-0,"Healthy, crunchy kale chips, a nutritious snack.",Centidel,,53.9,026013958
Silicone Ice Cube Tray,Kitchen,Pujijie,Edgepulse,Zoombeat,64,84,436456129-0,930825289-4,Flexible tray for easy-release ice cubes.,Yacero,2025-10-20,44.86,056004720
Weighted Jump Rope,Fitness,,Jatri,Skynoodle,47,39,,317215550-1,Adjustable weighted jump rope for workouts.,Thoughtbridge,2025-11-27,,
Sporty Cap,Clothing - Accessories,Székesfehérvár,Kanoodle,Brightbean,93,41,409403150-2,896802996-2,Stylish cap to complete your athletic look.,Jatri,2025-08-29,55.7,081503322
Pumpkin Spice Cookies,Food - Bakery,Lingquan,Skipstorm,Brainbox,1,33,369788848-X,942072172-8,Delicious cookies flavored with pumpkin and spices.,Livefish,2026-02-13,,322270521
Thai Peanut Dressing,Food - Condiments,Ikeja,Yakijo,BlogXS,45,24,190076145-9,689637490-X,A creamy and tangy dressing perfect for salads or as a dipping sauce.,Topicblab,2026-01-16,47.72,064008637
Turkey Bacon,Food - Meat,Fort Beaufort,Flashdog,,14,24,951449424-5,118946526-4,"Delicious turkey bacon, a healthier alternative.",Twinder,,98.8,123206781
Asian Noodle Salad Kit,Food - Salads,Stockholm,Skiptube,Mybuzz,57,70,416991621-2,950144476-7,A pre-packaged salad kit with noodles and Asian-style dressing.,Twimm,2025-10-29,91.32,091310699
Ceramic Cookware Set,Kitchen,Hetan,Jaxspan,,34,42,815893463-3,997052634-0,Durable and non-stick ceramic cookware for healthy cooking.,Tagfeed,2025-07-07,42.42,
Savory Italian Herbs,Food - Spices,Tivat,Midel,Vinte,37,53,924117514-1,463608144-7,A blend of dried Italian herbs for cooking.,Oyonder,2025-08-12,81.07,063116588
Coffee Grinder,Kitchen,Itaporanga,Minyx,Fivechat,30,80,736884776-0,746896675-3,Burr coffee grinder for fresh ground coffee.,Fivechat,2025-09-19,5.48,091806381
Raspberry Limeade,Food - Beverages,Spring,Wikivu,Devcast,55,62,385439102-1,712680939-5,,,2025-06-24,84.93,011001742
Cranberry Citrus Sauce,Food - Condiments,Qŭrghonteppa,Skilith,Feedspan,35,75,674853905-6,117715341-6,"A tangy sauce made with cranberries and citrus zest, perfect for turkey and chicken dishes.",Buzzshare,2025-09-18,43.85,
Mini Indoor Herb Garden Kit,Garden,Linqu,Feedmix,Mydeo,80,32,972913531-2,987511422-7,All-in-one kit for growing herbs in your kitchen.,Jetwire,2025-07-25,30.97,104113408
Stainless Steel Cutlery Set,Kitchen,Belyy Yar,Cogibox,Feedspan,78,36,887585381-9,886141468-0,High-quality cutlery set for daily use or special occasions.,Rooxo,2025-11-23,20.62,102106857
Trendy Bomber Jacket,Clothing - Outerwear,København,Gabcube,Fliptune,12,47,906510186-1,116536240-6,A fashion-forward bomber jacket to elevate your casual looks.,Avamm,2024-12-29,41.06,122243596
Cushion Covers,Home,San Silvestre,Devbug,Npath,84,95,043962992-6,440984372-9,Set of decorative cushion covers for home decor.,Flipbug,2026-01-06,1.69,101902117
Herb Seasoned Rice,Food - Sides,Recarei,Buzzshare,Zoomdog,46,71,510500922-3,976521074-4,A flavorful rice side dish seasoned with herbs and spices.,Gabspot,2025-09-21,70.05,075012683
Dark Chocolate Tart,Food - Desserts,Wangcheng,Eire,Fanoodle,7,48,234484881-9,785993893-6,Decadent tart made with rich dark chocolate.,Lajo,2025-10-19,89.86,104908082
Adjustable Stand for Tablets and Smartphones,Electronics,Funza,Fliptune,,91,68,345139943-1,760752770-2,Multi-angle stand for easy viewing of devices.,Devbug,2025-08-26,,091303376
Outdoor Camping Lantern,Outdoor,Bang Bo,Edgeify,Pixonyx,38,62,680958384-X,046246764-3,Rechargeable LED lantern ideal for camping and outdoor activities.,Realfire,2025-01-24,7.25,
Granola Cereal,Food - Breakfast,Mīr Bachah Kōṯ,Latz,Jaxbean,72,46,,,"Crunchy granola with oats, nuts, and honey.",Trilith,2025-02-22,43.95,111924305
Basketball,Sports,Burträsk,,Eimbee,67,4,027650243-4,066403586-8,Official size basketball for indoor and outdoor play.,Twitterwire,2025-11-14,94.09,053112217
Magnetic Spice Jars,Kitchen,Faaa,Devbug,Roodel,55,28,451152876-4,394210940-9,Convenient magnetic jars for easy spice storage.,Meevee,2025-09-03,94.75,091310576
Belted Trench Coat,Clothing - Outerwear,Maslovka,,Jaxnation,29,5,186099648-5,983641036-8,Timeless belted trench coat for a polished look during fall.,Tanoodle,2025-07-17,19.11,042206422
Chicken Parmesan Dinner Kit,Food - Frozen Meals,Braga,Feednation,,98,11,026407549-8,,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner.",Livefish,2025-11-20,55.26,113008766
Travel Sewing Kit,Travel,Kālābāgh,,Brainlounge,33,86,079784808-8,276434562-3,Compact sewing kit for travel emergencies.,,2025-11-14,35.94,122243127
Striped Long Sleeve Shirt,Clothing - Shirts,,Avamba,Snaptags,34,57,,277334029-9,A casual striped long sleeve shirt that's perfect for layering.,Mynte,2025-08-16,12.87,111100792
Basil-infused Olive Oil,Food - Cooking Oil,Terpsithéa,Meeveo,Yodo,18,5,685519663-2,983432319-0,Extra virgin olive oil infused with fresh basil.,Meetz,2025-09-16,60.22,
Classic Caesar Dressing,Food - Condiments,,,Trudoo,94,53,535745027-7,900461353-6,,Fatz,2025-05-06,40.23,044000024
Electric Air Pump,Outdoor,Bacun,LiveZ,Quire,63,45,456866330-X,761695763-3,Fast and convenient air pump for inflating toys and furniture.,Rhyloo,2025-12-15,70.4,111024467
Fitness Tracker with Heart Rate Monitor,Fitness,Nanpu,Skalith,Flipbug,97,44,,101345085-X,Wearable device to track fitness activities and heart rate.,,,82.92,263190812
Body Pillow Case,Home,,Oyondu,Oyonder,43,40,977219053-2,466893229-9,Soft and breathable pillowcase for body pillows.,Geba,2025-09-29,24.93,091402947
Pasta Maker,Kitchen,Nanmen,Eare,Roodel,37,75,,534565143-4,Manual pasta maker for homemade pasta.,Brightbean,2025-02-09,35.73,091901862
Chocolate Raspberry Tart,Food - Bakery,Makurazaki,Yotz,Kaymbo,60,30,,390355467-7,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",Twimbo,2026-01-20,32.3,124103896
Wireless Charging Pad,Accessories,Matagalpa,Thoughtbridge,Pixope,11,98,509841079-7,811471450-6,Sleek wireless charging pad for smartphones.,Kanoodle,2025-01-31,47.03,242070966
Throw Pillow Covers,Home,Chư Ty,Ozu,Tagfeed,26,68,447390735-X,518041889-5,Set of decorative pillow covers to enhance your home decor.,,2025-11-19,5.54,041201703
Outdoor Sports Backpack,Outdoor,Midland,Izio,Pixope,24,47,055804493-X,408451723-2,Durable backpack designed for hiking and outdoor excursions.,Cogibox,2026-01-30,12.46,274970843
Honey Sesame Chicken,Food - Frozen Food,Ilići,Chatterpoint,Eadel,27,16,,666607688-5,,Skaboo,2025-03-28,38.0,114907633
Adjustable Yoga Mat Strap,Fitness,Szczurowa,Skinix,Jayo,93,55,218111283-5,,Convenient strap for carrying yoga mats to class.,Quimba,,,
Creamy Ranch Dressing,Food - Dressings,Avon,Yakidoo,Kazu,59,48,011160167-3,,Classic ranch dressing for salads and dipping.,Brightdog,2025-05-09,85.34,021000322
Dog Car Seat Cover,Pets,Bagombong,Rhyzio,Yambee,41,63,109410784-0,925632574-8,Waterproof cover to protect car seats from pet hair and dirt.,Skaboo,2025-09-24,99.52,031302803
Adjustable Garden Rake,Garden,Krasnyy Oktyabr’,Innotype,Brainverse,87,44,407201181-9,914032863-5,Heavy-duty rake with adjustable width for different gardening needs.,Skiba,2025-12-30,96.05,062202134
Honey Sesame Cashews,Food - Snacks,Luoshe,Topiclounge,Mynte,89,38,038195845-0,382938491-2,Roasted cashews coated in honey and sesame seeds for a sweet treat.,Avaveo,2025-01-01,21.68,082902472
Cinnamon Roll Dough,Food - Bakery,Cartagena del Chairá,Twitterworks,,11,79,559955076-1,,Ready-to-bake cinnamon roll dough for easy breakfasts.,Fivebridge,2025-09-14,95.41,123204835
Pet Grooming Kit,Pets,Banqiao,Buzzbean,,90,52,283731463-3,511882047-2,Complete grooming kit for dogs and cats.,,2025-07-17,67.32,
Sweet Potato Mash,Food - Frozen Foods,Tadotsu,Yakidoo,Demizz,74,8,,946056021-0,,Babbleblab,2025-12-16,75.23,
Lightweight Travel Backpack,Travel,Xiaxindian,Blognation,Aivee,44,34,957716699-7,615639076-6,Compact and portable backpack for day trips and travel.,Ntags,2025-06-17,50.42,121141822
Set of Gardening Gloves with Claws,Garden,Italó,,Jaxworks,78,81,797615257-2,489279507-0,Multi-functional gloves for planting and digging without tools.,,2025-01-11,17.13,
Sliced Ham,Food - Meat,Lāliān,Zoovu,Talane,15,60,697011992-0,932046796-X,"Delicious and fully cooked sliced ham, ready to eat.",Thoughtstorm,2025-10-17,53.91,084202769
